ContractManagementCategory,responsibility,quarterly,unit,weight,target,realization,max,min,Input,Monitor
NonFinancial,Operating Ratio Fakultas,TW-4,%,7.5,,,120.0,80.0,,
NonFinancial,Operating Ratio & Cash Collection Telkom University (Common Indikator),TW-4,%,2.5,,,120.0,80.0,,
Financial,Kepuasan Stakeholder,TW-4,,,,,,,,
Financial,Kepuasan Mahasiswa (EDOM),TW-4,%,3.0,82.0,,105.0,80.0,,
Financial,Customer Satisfaction Index,TW-4,%,,,,,,"86,81",
InternalBusinessProcess,Pendidikan Mahasiswa,TW-4,,,,,,,,
InternalBusinessProcess,Lulusan mendapat pekerjaan yang layak,TW-4,%,,,,,,,
InternalBusinessProcess,Kelulusan Tepat Waktu,TW-4,%,,,,,,,
InternalBusinessProcess,DO dan Undur Diri (Turn Over) Mahasiswa Angkatan Habis Masa Studi,TW-4,%,,,,,,,
InternalBusinessProcess,Kelas yang kolaboratif dan partisipatif,TW-4,%,,,,,,,
InternalBusinessProcess,Mahasiswa mendapat pengalaman di luar kampus,TW-4,%,3.0,12.0,,105.0,80.0,,https://bpa.telkomuniversity.ac.id/dashboard-mahasiswa/
InternalBusinessProcess,Jumlah kerjasama infrastruktur laboratorium,TW-4,Jumlah,4.0,2.0,,110.0,80.0,,
InternalBusinessProcess,Riset dan Abdimas,TW-4,,,,,,,,
InternalBusinessProcess,Publikasi Terindex Scopus / WoS,TW-4,Jumlah,4.0,200.0,,110.0,80.0,,
InternalBusinessProcess,Penelitian dan abdimas yang didanai pihak eksternal,TW-4,Jumlah,4.0,40.0,,110.0,80.0,,
InternalBusinessProcess,Peningkatan Sitasi Baru dari paper yang terindeks,TW-4,Jumlah,4.0,1000.0,,110.0,80.0,,
InternalBusinessProcess,International Publication Collaboration,TW-4,Jumlah,4.0,40.0,,110.0,80.0,,
InternalBusinessProcess,Desa Binaan,TW-4,Jumlah,3.0,4.0,,105.0,80.0,,
InternalBusinessProcess,Prestasi Mahasiswa,TW-4,,,,,,,,
InternalBusinessProcess,Prestasi kompetisi (tingkat Internasional/Nasional/Provinsi),TW-4,Skor,5.0,75.0,,110.0,80.0,,
InternalBusinessProcess,Jumlah pendanaan hibah kompetisi belmawa (termasuk innovillage),TW-4,Jumlah,5.0,6.0,,110.0,80.0,,
InternalBusinessProcess,Jumlah dosen yang terlibat membina kompetisi minimal tingkat nasional (Keterlibatan Membimbing),TW-4,Jumlah,4.0,20.0,,110.0,80.0,,
InternalBusinessProcess,Internasionalisasi,TW-4,,,,,,,,
InternalBusinessProcess,Prodi Kelas Internasional dengan Dual/Joint Degree Aktif minimal submit kemendikbud,TW-4,Jumlah,,,,,,,
InternalBusinessProcess,Kesiapan Jumlah mahasiswa inbound mobility,TW-4,Jumlah,,,,,,,
InternalBusinessProcess,Mahasiswa outbound mobility (short dan long program),TW-4,Jumlah,5.0,675.0,,110.0,80.0,,
InternalBusinessProcess,Sumber Daya Manusia,TW-4,,,,,,,,
InternalBusinessProcess,Performansi Dosen S3 (Sesuai SK yang Ditetapkan),TW-4,%,5.0,100.0,,110.0,80.0,,
InternalBusinessProcess,"Performansi terkait JFA Lektor, Lektor Kepala, dan Guru Besar (Sesuai SK yang Ditetapkan)",TW-4,%,5.0,100.0,,110.0,80.0,,
InternalBusinessProcess,Transformasi Digital dalam Pembelajaran,TW-4,,,,,,,,
InternalBusinessProcess,Mata kuliah menerapkan standard Online Learning,TW-4,%,3.0,90.0,,105.0,80.0,,
InternalBusinessProcess,Jumlah learning factory*,TW-4,Jumlah,4.0,1.0,,110.0,80.0,,
InternalBusinessProcess,Jumlah sertifikasi (untuk mahasiswa),TW-4,Jumlah,4.0,8.0,,110.0,80.0,,
InternalBusinessProcess,Inovasi dan Entrepreneurial University,TW-4,,,,,,,,
InternalBusinessProcess,Penelitian Dosen TRL >=4 Granted PPM,TW-4,Jumlah,5.0,50.0,,110.0,80.0,https://telkomuniversityofficial-my.sharepoint.com/:x:/g/personal/pppi_365_telkomuniversity_ac_id/EYGRi_DMbItOqQ_ogON6OCsBFJhcomA5FNFw2N0b9vhkpg?e=IkJ52h&nav=MTVfezAyQTVBRkY2LTFDQTEtNDBDQy1BRUZELTczQTY1MTk1MkJBMn0,
InternalBusinessProcess,Tim Startup Berbasis Inovasi yang baru,TW-4,Jumlah,5.0,10.0,,110.0,80.0,,
InternalBusinessProcess,Jumlah HKI yang diimplementasikan di industri*,TW-4,Jumlah,5.0,1.0,,110.0,80.0,,
InternalBusinessProcess,Persentase dosen yang berkegiatan tridharma di luar kampus,TW-4,%,,,,,,Jumlah Dosen FEB : 193,
InternalBusinessProcess,Persentase dosen yang memiliki sertifikasi profesi,TW-4,%,,,,,,,
InternalBusinessProcess,Jumlah mahasiswa yang terlibat WRAP research di CoE,TW-4,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah dosen yang ditugaskan untuk terlibat di entrepreneurship berkolaborasi dengan BTP,TW-4,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah mahasiswa yang terlibat WRAP entrepreneurship dan Program Entrepreneurship lainnya di BTP,TW-4,Jumlah,,,,,,,
NonFinancial,Kelengkapan Lapman,TW-4,%,3.0,90.0,,105.0,80.0,Kelengkapan Lapman,
NonFinancial,Poin Tambahan Di luar Bobot 100%,TW-4,,,,,,,,
NonFinancial,"Pendapatan NTF (Seluruh NTF, Termasuk Hibah Penelitian)",TW-4,Rp,,,,,,,
Financial,Operating Ratio Fakultas,TW-3,%,7.5,47.64,36.49,120.0,80.0,,
Financial,Operating Ratio & Cash Collection Telkom University (Common Indikator),TW-3,%,2.5,100.0,106.17,120.0,80.0,,
NonFinancial,Kepuasan Mahasiswa (EDOM),TW-3,%,,,,,,,
NonFinancial,Customer Satisfaction Index,TW-3,%,,,,,,"86,81",
InternalBusinessProcess,Lulusan mendapat pekerjaan yang layak,TW-3,%,10.0,18.0,57.56,110.0,80.0,,
InternalBusinessProcess,Kelulusan Tepat Waktu,TW-3,%,10.0,57.0,73.52,110.0,80.0,,
InternalBusinessProcess,DO dan Undur Diri (Turn Over) Mahasiswa Angkatan Habis Masa Studi,TW-3,%,10.0,15.0,11.98,110.0,80.0,,
InternalBusinessProcess,Kelas yang kolaboratif dan partisipatif,TW-3,%,10.0,60.0,89.3,110.0,80.0,,
InternalBusinessProcess,Mahasiswa mendapat pengalaman di luar kampus,TW-3,%,,,,,,,https://bpa.telkomuniversity.ac.id/dashboard-mahasiswa/
InternalBusinessProcess,Jumlah kerjasama infrastruktur laboratorium,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Publikasi Terindex Scopus / WoS,TW-3,Jumlah,10.0,160.0,421.2,110.0,80.0,,
InternalBusinessProcess,Penelitian dan abdimas yang didanai pihak eksternal,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Peningkatan Sitasi Baru dari paper yang terindeks,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,International Publication Collaboration,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Desa Binaan,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Prestasi kompetisi (tingkat Internasional/Nasional/Provinsi),TW-3,Skor,,,,,,,
InternalBusinessProcess,Jumlah pendanaan hibah kompetisi belmawa (termasuk innovillage),TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah dosen yang terlibat membina kompetisi minimal tingkat nasional (Keterlibatan Membimbing),TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Prodi Kelas Internasional dengan Dual/Joint Degree Aktif minimal submit kemendikbud,TW-3,Jumlah,15.0,3.0,3.0,110.0,80.0,,
InternalBusinessProcess,Kesiapan Jumlah mahasiswa inbound mobility,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Mahasiswa outbound mobility (short dan long program),TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Performansi Dosen S3 (Sesuai SK yang Ditetapkan),TW-3,%,,,,,,,
InternalBusinessProcess,"Performansi terkait JFA Lektor, Lektor Kepala, dan Guru Besar (Sesuai SK yang Ditetapkan)",TW-3,%,,,,,,,
InternalBusinessProcess,Mata kuliah menerapkan standard Online Learning,TW-3,%,,,,,,,
InternalBusinessProcess,Jumlah learning factory*,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah sertifikasi (untuk mahasiswa),TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Penelitian Dosen TRL >=4 Granted PPM,TW-3,Jumlah,10.0,30.0,48.0,110.0,80.0,https://telkomuniversityofficial-my.sharepoint.com/:x:/g/personal/pppi_365_telkomuniversity_ac_id/EYGRi_DMbItOqQ_ogON6OCsBFJhcomA5FNFw2N0b9vhkpg?e=IkJ52h&nav=MTVfezAyQTVBRkY2LTFDQTEtNDBDQy1BRUZELTczQTY1MTk1MkJBMn0,
InternalBusinessProcess,Tim Startup Berbasis Inovasi yang baru,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah HKI yang diimplementasikan di industri*,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Persentase dosen yang berkegiatan tridharma di luar kampus,TW-3,%,,,,,,Jumlah Dosen FEB : 193,
InternalBusinessProcess,Persentase dosen yang memiliki sertifikasi profesi,TW-3,%,,,,,,,
InternalBusinessProcess,Jumlah mahasiswa yang terlibat WRAP research di CoE,TW-3,Jumlah,4.0,45.0,69.0,105.0,80.0,,
InternalBusinessProcess,Jumlah dosen yang ditugaskan untuk terlibat di entrepreneurship berkolaborasi dengan BTP,TW-3,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah mahasiswa yang terlibat WRAP entrepreneurship dan Program Entrepreneurship lainnya di BTP,TW-3,Jumlah,4.0,50.0,127.0,105.0,80.0,,
Financial,Operating Ratio Fakultas,TW-2,%,7.5,,,120.0,80.0,,
Financial,Operating Ratio & Cash Collection Telkom University (Common Indikator),TW-2,%,2.5,100.0,106.23,120.0,80.0,,
NonFinancial,Kepuasan Mahasiswa (EDOM),TW-2,%,3.0,82.0,85.1,105.0,80.0,,
NonFinancial,Customer Satisfaction Index,TW-2,%,,,,,,"86,81",
InternalBusinessProcess,Pendidikan Mahasiswa,TW-2,,,,,,,,
InternalBusinessProcess,Lulusan mendapat pekerjaan yang layak,TW-2,%,,,,,,,
InternalBusinessProcess,Kelulusan Tepat Waktu,TW-2,%,,,,,,,
InternalBusinessProcess,DO dan Undur Diri (Turn Over) Mahasiswa Angkatan Habis Masa Studi,TW-2,%,,,,,,,
InternalBusinessProcess,Kelas yang kolaboratif dan partisipatif,TW-2,%,,,,,,,
InternalBusinessProcess,Mahasiswa mendapat pengalaman di luar kampus,TW-2,%,,,,,,,https://bpa.telkomuniversity.ac.id/dashboard-mahasiswa/
InternalBusinessProcess,Jumlah kerjasama infrastruktur laboratorium,TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Publikasi Terindex Scopus / WoS,TW-2,Jumlah,15.0,100.0,285.37,110.0,80.0,,
InternalBusinessProcess,Penelitian dan abdimas yang didanai pihak eksternal,TW-2,Jumlah,10.0,20.0,29.0,110.0,80.0,,
InternalBusinessProcess,Peningkatan Sitasi Baru dari paper yang terindeks,TW-2,Jumlah,10.0,500.0,2273.0,110.0,80.0,,
InternalBusinessProcess,International Publication Collaboration,TW-2,Jumlah,10.0,25.0,112.83,110.0,80.0,,
InternalBusinessProcess,Desa Binaan,TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Prestasi kompetisi (tingkat Internasional/Nasional/Provinsi),TW-2,Skor,10.0,50.0,174.8,110.0,80.0,,
InternalBusinessProcess,Jumlah pendanaan hibah kompetisi belmawa (termasuk innovillage),TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah dosen yang terlibat membina kompetisi minimal tingkat nasional (Keterlibatan Membimbing),TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Prodi Kelas Internasional dengan Dual/Joint Degree Aktif minimal submit kemendikbud,TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Kesiapan Jumlah mahasiswa inbound mobility,TW-2,Jumlah,10.0,210.0,534.0,110.0,80.0,,
InternalBusinessProcess,Mahasiswa outbound mobility (short dan long program),TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Performansi Dosen S3 (Sesuai SK yang Ditetapkan),TW-2,%,,,,,,,
InternalBusinessProcess,"Performansi terkait JFA Lektor, Lektor Kepala, dan Guru Besar (Sesuai SK yang Ditetapkan)",TW-2,%,,,,,,,
InternalBusinessProcess,Mata kuliah menerapkan standard Online Learning,TW-2,%,3.0,90.0,97.47,105.0,80.0,,
InternalBusinessProcess,Jumlah learning factory*,TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah sertifikasi (untuk mahasiswa),TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Inovasi dan Entrepreneurial University,TW-2,,,,,,,,
InternalBusinessProcess,Penelitian Dosen TRL >=4 Granted PPM,TW-2,Jumlah,10.0,20.0,46.0,110.0,80.0,https://telkomuniversityofficial-my.sharepoint.com/:x:/g/personal/pppi_365_telkomuniversity_ac_id/EYGRi_DMbItOqQ_ogON6OCsBFJhcomA5FNFw2N0b9vhkpg?e=IkJ52h&nav=MTVfezAyQTVBRkY2LTFDQTEtNDBDQy1BRUZELTczQTY1MTk1MkJBMn0,
InternalBusinessProcess,Tim Startup Berbasis Inovasi yang baru,TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah HKI yang diimplementasikan di industri*,TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Persentase dosen yang berkegiatan tridharma di luar kampus,TW-2,%,,,,,,Jumlah Dosen FEB : 193,
InternalBusinessProcess,Persentase dosen yang memiliki sertifikasi profesi,TW-2,%,,,,,,,
InternalBusinessProcess,Jumlah mahasiswa yang terlibat WRAP research di CoE,TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Jumlah dosen yang ditugaskan untuk terlibat di entrepreneurship berkolaborasi dengan BTP,TW-2,Jumlah,3.0,10.0,19.0,110.0,80.0,,
InternalBusinessProcess,Jumlah mahasiswa yang terlibat WRAP entrepreneurship dan Program Entrepreneurship lainnya di BTP,TW-2,Jumlah,,,,,,,
InternalBusinessProcess,Kelengkapan Lapman,TW-2,%,3.0,90.0,100.0,105.0,80.0,Kelengkapan Lapman,